Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
22, 1073741824, 1, 8, 512, 9.92515, 3.14378, N/A, 7.16471, 7.12217, 323110, 947.811, 32, 64, 16, 2, 8, 1, 86.4821, 256, 512, 64, 1, 8, 1, 59.8936, 
32, 262144, 1, 1, 256, 0.517433, 0.941996, N/A, 0.0583221, 0.0544007, 104.961, 0.524735, 2, 8, 8, 16, 1, 1, 59.7507, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 4096, 1, 1, 512, 0.15315, 0.190702, N/A, 0.00635354, 0.00949982, 1.59624, 0.0193521, 2, 2, 1, 2, 1, 1, 25.3148, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 16384, 1, 1, 64, 0.204766, 0.369919, N/A, 0.00659953, 0.00450884, 5.12619, 0.0285517, 2, 2, 16, 32, 1, 1, 68.6328, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 1024, 1, 1, 64, 0.124994, 0.133871, N/A, 0.00127065, 0.00128571, 0.421559, 0.00306038, 2, 2, 4, 8, 1, 1, 40.0192, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 65536, 1, 1, 256, 0.321328, 0.39652, N/A, 0.028172, 0.0303688, 29.6152, 0.138481, 2, 4, 4, 8, 1, 1, 56.602, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 131072, 1, 1, 256, 0.437385, 0.941996, N/A, 0.0373541, 0.0334327, 47.6558, 0.250959, 2, 4, 8, 16, 1, 1, 62.4669, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 262144, 1, 1, 256, 0.517433, 0.941996, N/A, 0.0583221, 0.0544007, 104.961, 0.524735, 2, 8, 8, 16, 1, 1, 59.7507, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 524288, 1, 1, 256, 0.623578, 0.941996, N/A, 0.096122, 0.0922006, 221.105, 1.07254, 2, 16, 8, 16, 1, 1, 58.4653, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 1048576, 1, 1, 256, 0.77174, 0.999933, N/A, 0.158263, 0.150773, 380.343, 1.86467, 2, 16, 8, 16, 1, 1, 67.2576, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
